"activity" "subject" "feature" "average value"
"78" "LAYING" 1 "fBodyBodyGyroJerkMag-std()" -0.9326606676
"79" "LAYING" 1 "fBodyBodyGyroJerkMag-meanFreq()" 0.17648590708
"80" "LAYING" 2 "tBodyAcc-mean()-X" 0.281373403958333
"81" "LAYING" 2 "tBodyAcc-mean()-Y" -0.0181587397583333
"82" "LAYING" 2 "tBodyAcc-mean()-Z" -0.107245610416667
"83" "LAYING" 2 "tBodyAcc-std()-X" -0.974059464791667
"84" "LAYING" 2 "tBodyAcc-std()-Y" -0.98027739875
"85" "LAYING" 2 "tBodyAcc-std()-Z" -0.984233296875
"86" "LAYING" 2 "tGravityAcc-mean()-X" -0.509754238125
"87" "LAYING" 2 "tGravityAcc-mean()-Y" 0.752536639375
"88" "LAYING" 2 "tGravityAcc-mean()-Z" 0.646834879583333
"89" "LAYING" 2 "tGravityAcc-std()-X" -0.959014441458333
"90" "LAYING" 2 "tGravityAcc-std()-Y" -0.988211865208333
"91" "LAYING" 2 "tGravityAcc-std()-Z" -0.984230418125
"92" "LAYING" 2 "tBodyAccJerk-mean()-X" 0.0825972511666667
"93" "LAYING" 2 "tBodyAccJerk-mean()-Y" 0.012254788451875
"94" "LAYING" 2 "tBodyAccJerk-mean()-Z" -0.00180264895625
"95" "LAYING" 2 "tBodyAccJerk-std()-X" -0.98587216875
"96" "LAYING" 2 "tBodyAccJerk-std()-Y" -0.98317254125
"97" "LAYING" 2 "tBodyAccJerk-std()-Z" -0.988442014375
"98" "LAYING" 2 "tBodyGyro-mean()-X" -0.01847660675
"99" "LAYING" 2 "tBodyGyro-mean()-Y" -0.111800824583333
"100" "LAYING" 2 "tBodyGyro-mean()-Z" 0.144882846104167
"101" "LAYING" 2 "tBodyGyro-std()-X" -0.988275232916667
"102" "LAYING" 2 "tBodyGyro-std()-Y" -0.982291608958333
"103" "LAYING" 2 "tBodyGyro-std()-Z" -0.960306560416667
"104" "LAYING" 2 "tBodyGyroJerk-mean()-X" -0.101974134208333
"105" "LAYING" 2 "tBodyGyroJerk-mean()-Y" -0.0358590176083333
"106" "LAYING" 2 "tBodyGyroJerk-mean()-Z" -0.0701783020833333
"107" "LAYING" 2 "tBodyGyroJerk-std()-X" -0.993235849166667
"108" "LAYING" 2 "tBodyGyroJerk-std()-Y" -0.989567537916667
"109" "LAYING" 2 "tBodyGyroJerk-std()-Z" -0.98803582125
"110" "LAYING" 2 "tBodyAccMag-mean()" -0.977435485208333
"111" "LAYING" 2 "tBodyAccMag-std()" -0.972873912916667
"112" "LAYING" 2 "tGravityAccMag-mean()" -0.977435485208333
"113" "LAYING" 2 "tGravityAccMag-std()" -0.972873912916667
"114" "LAYING" 2 "tBodyAccJerkMag-mean()" -0.987741696041667
"115" "LAYING" 2 "tBodyAccJerkMag-std()" -0.98551807625
"116" "LAYING" 2 "tBodyGyroMag-mean()" -0.950011569583333
"117" "LAYING" 2 "tBodyGyroMag-std()" -0.961164053958333
"118" "LAYING" 2 "tBodyGyroJerkMag-mean()" -0.991767074166667
"119" "LAYING" 2 "tBodyGyroJerkMag-std()" -0.989718095208333
"120" "LAYING" 2 "fBodyAcc-mean()-X" -0.976725059791667
"121" "LAYING" 2 "fBodyAcc-mean()-Y" -0.979800877916667
"122" "LAYING" 2 "fBodyAcc-mean()-Z" -0.984380981875
"123" "LAYING" 2 "fBodyAcc-std()-X" -0.973246482083333
"124" "LAYING" 2 "fBodyAcc-std()-Y" -0.981025105625
"125" "LAYING" 2 "fBodyAcc-std()-Z" -0.984792185
"126" "LAYING" 2 "fBodyAcc-meanFreq()-X" -0.146482792591667
"127" "LAYING" 2 "fBodyAcc-meanFreq()-Y" 0.2572894655
"128" "LAYING" 2 "fBodyAcc-meanFreq()-Z" 0.402532553395833
"129" "LAYING" 2 "fBodyAccJerk-mean()-X" -0.985813630833333
"130" "LAYING" 2 "fBodyAccJerk-mean()-Y" -0.982768250416667
"131" "LAYING" 2 "fBodyAccJerk-mean()-Z" -0.986197134583333
"132" "LAYING" 2 "fBodyAccJerk-std()-X" -0.987250255833333
"133" "LAYING" 2 "fBodyAccJerk-std()-Y" -0.984987392916667
"134" "LAYING" 2 "fBodyAccJerk-std()-Z" -0.989345368541667
"135" "LAYING" 2 "fBodyAccJerk-meanFreq()-X" 0.159808328563875
"136" "LAYING" 2 "fBodyAccJerk-meanFreq()-Y" 0.1212064240125
"137" "LAYING" 2 "fBodyAccJerk-meanFreq()-Z" 0.190558218145833
"138" "LAYING" 2 "fBodyGyro-mean()-X" -0.9864311425
"139" "LAYING" 2 "fBodyGyro-mean()-Y" -0.983321635416667
"140" "LAYING" 2 "fBodyGyro-mean()-Z" -0.9626718875
"141" "LAYING" 2 "fBodyGyro-std()-X" -0.988860685833333
"142" "LAYING" 2 "fBodyGyro-std()-Y" -0.981910616458333
"143" "LAYING" 2 "fBodyGyro-std()-Z" -0.963174222291667
"144" "LAYING" 2 "fBodyGyro-meanFreq()-X" 0.10261131938125
"145" "LAYING" 2 "fBodyGyro-meanFreq()-Y" 0.04228066839375
"146" "LAYING" 2 "fBodyGyro-meanFreq()-Z" 0.0552985986479167
"147" "LAYING" 2 "fBodyAccMag-mean()" -0.975110196458333
"148" "LAYING" 2 "fBodyAccMag-std()" -0.975121387916667
"149" "LAYING" 2 "fBodyAccMag-meanFreq()" 0.2662982125
"150" "LAYING" 2 "fBodyBodyAccJerkMag-mean()" -0.985374114791667
"151" "LAYING" 2 "fBodyBodyAccJerkMag-std()" -0.984568489166667
"152" "LAYING" 2 "fBodyBodyAccJerkMag-meanFreq()" 0.3417585745
"153" "LAYING" 2 "fBodyBodyGyroMag-mean()" -0.972112972708333
"154" "LAYING" 2 "fBodyBodyGyroMag-std()" -0.96109837875
"155" "LAYING" 2 "fBodyBodyGyroMag-meanFreq()" 0.01856447223125
"156" "LAYING" 2 "fBodyBodyGyroJerkMag-mean()" -0.990248702291667
"157" "LAYING" 2 "fBodyBodyGyroJerkMag-std()" -0.989492660416667
"158" "LAYING" 2 "fBodyBodyGyroJerkMag-meanFreq()" 0.264801505395833
"159" "LAYING" 3 "tBodyAcc-mean()-X" 0.275516852741935
"160" "LAYING" 3 "tBodyAcc-mean()-Y" -0.0189556785048387
"161" "LAYING" 3 "tBodyAcc-mean()-Z" -0.101300477506452
"162" "LAYING" 3 "tBodyAcc-std()-X" -0.982776639193548
"163" "LAYING" 3 "tBodyAcc-std()-Y" -0.962057544516129
"164" "LAYING" 3 "tBodyAcc-std()-Z" -0.96369103483871
"165" "LAYING" 3 "tGravityAcc-mean()-X" -0.241758478064516
"166" "LAYING" 3 "tGravityAcc-mean()-Y" 0.837032099677419
"167" "LAYING" 3 "tGravityAcc-mean()-Z" 0.48870318516129
"168" "LAYING" 3 "tGravityAcc-std()-X" -0.982512193064516
"169" "LAYING" 3 "tGravityAcc-std()-Y" -0.981202749677419
"170" "LAYING" 3 "tGravityAcc-std()-Z" -0.964807543870968
"171" "LAYING" 3 "tBodyAccJerk-mean()-X" 0.0769811125806452
"172" "LAYING" 3 "tBodyAccJerk-mean()-Y" 0.0138041011306452
"173" "LAYING" 3 "tBodyAccJerk-mean()-Z" -0.00435625874355645
"174" "LAYING" 3 "tBodyAccJerk-std()-X" -0.98087931483871
"175" "LAYING" 3 "tBodyAccJerk-std()-Y" -0.968710724677419
"176" "LAYING" 3 "tBodyAccJerk-std()-Z" -0.982093162903226
"177" "LAYING" 3 "tBodyGyro-mean()-X" -0.0208170540330645
"178" "LAYING" 3 "tBodyGyro-mean()-Y" -0.0718507159435484
"179" "LAYING" 3 "tBodyGyro-mean()-Z" 0.137999561112903
"180" "LAYING" 3 "tBodyGyro-std()-X" -0.974545752096774
"181" "LAYING" 3 "tBodyGyro-std()-Y" -0.977272653709677
"182" "LAYING" 3 "tBodyGyro-std()-Z" -0.963505609032258
"183" "LAYING" 3 "tBodyGyroJerk-mean()-X" -0.10004449883871
"184" "LAYING" 3 "tBodyGyroJerk-mean()-Y" -0.0389771765322581
"185" "LAYING" 3 "tBodyGyroJerk-mean()-Z" -0.06873387
"186" "LAYING" 3 "tBodyGyroJerk-std()-X" -0.980328645
"187" "LAYING" 3 "tBodyGyroJerk-std()-Y" -0.986762741935484
"188" "LAYING" 3 "tBodyGyroJerk-std()-Z" -0.983338279516129
"189" "LAYING" 3 "tBodyAccMag-mean()" -0.972791346129032
"190" "LAYING" 3 "tBodyAccMag-std()" -0.964218176451613
"191" "LAYING" 3 "tGravityAccMag-mean()" -0.972791346129032
"192" "LAYING" 3 "tGravityAccMag-std()" -0.964218176451613
"193" "LAYING" 3 "tBodyAccJerkMag-mean()" -0.979484593387097
"194" "LAYING" 3 "tBodyAccJerkMag-std()" -0.976121297903226
"195" "LAYING" 3 "tBodyGyroMag-mean()" -0.951564751451613
"196" "LAYING" 3 "tBodyGyroMag-std()" -0.954275110967742
"197" "LAYING" 3 "tBodyGyroJerkMag-mean()" -0.98671362516129
"198" "LAYING" 3 "tBodyGyroJerkMag-std()" -0.983139255645161
"199" "LAYING" 3 "fBodyAcc-mean()-X" -0.980665609032258
"200" "LAYING" 3 "fBodyAcc-mean()-Y" -0.961169982903226
"201" "LAYING" 3 "fBodyAcc-mean()-Z" -0.968332141612903
"202" "LAYING" 3 "fBodyAcc-std()-X" -0.983691129032258
"203" "LAYING" 3 "fBodyAcc-std()-Y" -0.964094604193548
"204" "LAYING" 3 "fBodyAcc-std()-Z" -0.96327908016129
"205" "LAYING" 3 "fBodyAcc-meanFreq()-X" -0.0739526439887097
"206" "LAYING" 3 "fBodyAcc-meanFreq()-Y" 0.238470751435484
"207" "LAYING" 3 "fBodyAcc-meanFreq()-Z" 0.216971671672581
"208" "LAYING" 3 "fBodyAccJerk-mean()-X" -0.980513202258064
"209" "LAYING" 3 "fBodyAccJerk-mean()-Y" -0.968752113709677
"210" "LAYING" 3 "fBodyAccJerk-mean()-Z" -0.979122344354839
"211" "LAYING" 3 "fBodyAccJerk-std()-X" -0.983122615967742
"212" "LAYING" 3 "fBodyAccJerk-std()-Y" -0.971044012741936
"213" "LAYING" 3 "fBodyAccJerk-std()-Z" -0.983711904677419
"214" "LAYING" 3 "fBodyAccJerk-meanFreq()-X" 0.17597855438871
"215" "LAYING" 3 "fBodyAccJerk-meanFreq()-Y" -0.0131774961758065
"216" "LAYING" 3 "fBodyAccJerk-meanFreq()-Z" 0.0448196905903226
"217" "LAYING" 3 "fBodyGyro-mean()-X" -0.970167262903226
"218" "LAYING" 3 "fBodyGyro-mean()-Y" -0.978099682258065
"219" "LAYING" 3 "fBodyGyro-mean()-Z" -0.962341960806452
"220" "LAYING" 3 "fBodyGyro-std()-X" -0.975986433709677
"221" "LAYING" 3 "fBodyGyro-std()-Y" -0.977032495483871
"222" "LAYING" 3 "fBodyGyro-std()-Z" -0.967256854193548
"223" "LAYING" 3 "fBodyGyro-meanFreq()-X" -0.0822166454290323
"224" "LAYING" 3 "fBodyGyro-meanFreq()-Y" -0.0266820108903226
"225" "LAYING" 3 "fBodyGyro-meanFreq()-Z" 0.147686455548065
"226" "LAYING" 3 "fBodyAccMag-mean()" -0.96552427516129
"227" "LAYING" 3 "fBodyAccMag-std()" -0.968350217419355
"228" "LAYING" 3 "fBodyAccMag-meanFreq()" 0.236990127870968
"229" "LAYING" 3 "fBodyBodyAccJerkMag-mean()" -0.975949597903226
"230" "LAYING" 3 "fBodyBodyAccJerkMag-std()" -0.975305377903226
"231" "LAYING" 3 "fBodyBodyAccJerkMag-meanFreq()" 0.238611133937097
"232" "LAYING" 3 "fBodyBodyGyroMag-mean()" -0.96458672483871
"233" "LAYING" 3 "fBodyBodyGyroMag-std()" -0.955441855806452
"234" "LAYING" 3 "fBodyBodyGyroMag-meanFreq()" -0.0229296114693548
"235" "LAYING" 3 "fBodyBodyGyroJerkMag-mean()" -0.984278251290323
"236" "LAYING" 3 "fBodyBodyGyroJerkMag-std()" -0.982568158064516
"237" "LAYING" 3 "fBodyBodyGyroJerkMag-meanFreq()" 0.110697704185484
"238" "LAYING" 4 "tBodyAcc-mean()-X" 0.263559214981481
"239" "LAYING" 4 "tBodyAcc-mean()-Y" -0.0150031841055556
"240" "LAYING" 4 "tBodyAcc-mean()-Z" -0.110688150314815
"241" "LAYING" 4 "tBodyAcc-std()-X" -0.954193738888889
"242" "LAYING" 4 "tBodyAcc-std()-Y" -0.941714042407407
"243" "LAYING" 4 "tBodyAcc-std()-Z" -0.962667314814815
"244" "LAYING" 4 "tGravityAcc-mean()-X" -0.420664662222222
"245" "LAYING" 4 "tGravityAcc-mean()-Y" 0.915165104259259
"246" "LAYING" 4 "tGravityAcc-mean()-Z" 0.341531310555556
"247" "LAYING" 4 "tGravityAcc-std()-X" -0.921199965925926
"248" "LAYING" 4 "tGravityAcc-std()-Y" -0.969816635740741
"249" "LAYING" 4 "tGravityAcc-std()-Z" -0.976176608888889
"250" "LAYING" 4 "tBodyAccJerk-mean()-X" 0.0934494217777778
"251" "LAYING" 4 "tBodyAccJerk-mean()-Y" 0.00693313213968519
"252" "LAYING" 4 "tBodyAccJerk-mean()-Z" -0.00641054328740741
"253" "LAYING" 4 "tBodyAccJerk-std()-X" -0.978302781111111
"254" "LAYING" 4 "tBodyAccJerk-std()-Y" -0.942209488333333
"255" "LAYING" 4 "tBodyAccJerk-std()-Z" -0.978511984259259
"256" "LAYING" 4 "tBodyGyro-mean()-X" -0.00923156347222222
"257" "LAYING" 4 "tBodyGyro-mean()-Y" -0.0930128180759259
"258" "LAYING" 4 "tBodyGyro-mean()-Z" 0.169720404092593
"259" "LAYING" 4 "tBodyGyro-std()-X" -0.973102422222222
"260" "LAYING" 4 "tBodyGyro-std()-Y" -0.961109291851852
"261" "LAYING" 4 "tBodyGyro-std()-Z" -0.962073755
"262" "LAYING" 4 "tBodyGyroJerk-mean()-X" -0.105019877685185
"263" "LAYING" 4 "tBodyGyroJerk-mean()-Y" -0.0381230432222222
"264" "LAYING" 4 "tBodyGyroJerk-mean()-Z" -0.0712156288333333
"265" "LAYING" 4 "tBodyGyroJerk-std()-X" -0.975103204259259
"266" "LAYING" 4 "tBodyGyroJerk-std()-Y" -0.986855629814815
"267" "LAYING" 4 "tBodyGyroJerk-std()-Z" -0.983965359814815
"268" "LAYING" 4 "tBodyAccMag-mean()" -0.954557603148148
"269" "LAYING" 4 "tBodyAccMag-std()" -0.931292216611111
"270" "LAYING" 4 "tGravityAccMag-mean()" -0.954557603148148
"271" "LAYING" 4 "tGravityAccMag-std()" -0.931292216611111
"272" "LAYING" 4 "tBodyAccJerkMag-mean()" -0.970095771666667
"273" "LAYING" 4 "tBodyAccJerkMag-std()" -0.960786430740741
"274" "LAYING" 4 "tBodyGyroMag-mean()" -0.930236462592593
"275" "LAYING" 4 "tBodyGyroMag-std()" -0.947031781666667
"276" "LAYING" 4 "tBodyGyroJerkMag-mean()" -0.985068502037037
"277" "LAYING" 4 "tBodyGyroJerkMag-std()" -0.982698213703704
"278" "LAYING" 4 "fBodyAcc-mean()-X" -0.958802077592593
"279" "LAYING" 4 "fBodyAcc-mean()-Y" -0.938883374444444
"280" "LAYING" 4 "fBodyAcc-mean()-Z" -0.967504278888889
"281" "LAYING" 4 "fBodyAcc-std()-X" -0.952464881481481
"282" "LAYING" 4 "fBodyAcc-std()-Y" -0.946380971111111
"283" "LAYING" 4 "fBodyAcc-std()-Z" -0.962154454259259
"284" "LAYING" 4 "fBodyAcc-meanFreq()-X" -0.274194618766667
"285" "LAYING" 4 "fBodyAcc-meanFreq()-Y" 0.366231448994444
"286" "LAYING" 4 "fBodyAcc-meanFreq()-Z" 0.201329591976111
"287" "LAYING" 4 "fBodyAccJerk-mean()-X" -0.978542457407407
"288" "LAYING" 4 "fBodyAccJerk-mean()-Y" -0.943969987222222
"289" "LAYING" 4 "fBodyAccJerk-mean()-Z" -0.975383329444444
"290" "LAYING" 4 "fBodyAccJerk-std()-X" -0.980079292592593
"291" "LAYING" 4 "fBodyAccJerk-std()-Y" -0.944366881666667
"292" "LAYING" 4 "fBodyAccJerk-std()-Z" -0.980261236296296
"293" "LAYING" 4 "fBodyAccJerk-meanFreq()-X" 0.182436483157407
"294" "LAYING" 4 "fBodyAccJerk-meanFreq()-Y" 0.0987428836296296
"295" "LAYING" 4 "fBodyAccJerk-meanFreq()-Z" 0.0770211165
"296" "LAYING" 4 "fBodyGyro-mean()-X" -0.967203736481482
"297" "LAYING" 4 "fBodyGyro-mean()-Y" -0.972187839074074
"298" "LAYING" 4 "fBodyGyro-mean()-Z" -0.961479262592593
"299" "LAYING" 4 "fBodyGyro-std()-X" -0.975094739444444
"300" "LAYING" 4 "fBodyGyro-std()-Y" -0.956182500185185
"301" "LAYING" 4 "fBodyGyro-std()-Z" -0.965807466666667
"302" "LAYING" 4 "fBodyGyro-meanFreq()-X" -0.0660921823944444
"303" "LAYING" 4 "fBodyGyro-meanFreq()-Y" -0.526889995562963
"304" "LAYING" 4 "fBodyGyro-meanFreq()-Z" 0.152886311603704
"305" "LAYING" 4 "fBodyAccMag-mean()" -0.939389701296296
"306" "LAYING" 4 "fBodyAccMag-std()" -0.937187975962963
"307" "LAYING" 4 "fBodyAccMag-meanFreq()" 0.241697899814815
"308" "LAYING" 4 "fBodyBodyAccJerkMag-mean()" -0.96228712537037
"309" "LAYING" 4 "fBodyBodyAccJerkMag-std()" -0.958037119259259
"310" "LAYING" 4 "fBodyBodyAccJerkMag-meanFreq()" 0.274027349574074
"311" "LAYING" 4 "fBodyBodyGyroMag-mean()" -0.961556660185185
"312" "LAYING" 4 "fBodyBodyGyroMag-std()" -0.947100325185185
"313" "LAYING" 4 "fBodyBodyGyroMag-meanFreq()" -0.259851969798148
"314" "LAYING" 4 "fBodyBodyGyroJerkMag-mean()" -0.983609073333333
"315" "LAYING" 4 "fBodyBodyGyroJerkMag-std()" -0.982543631666667
"316" "LAYING" 4 "fBodyBodyGyroJerkMag-meanFreq()" 0.202949381537037
"317" "LAYING" 5 "tBodyAcc-mean()-X" 0.278334325576923
"318" "LAYING" 5 "tBodyAcc-mean()-Y" -0.0183042123269231
"319" "LAYING" 5 "tBodyAcc-mean()-Z" -0.107937603673077
"320" "LAYING" 5 "tBodyAcc-std()-X" -0.965934509615385
"321" "LAYING" 5 "tBodyAcc-std()-Y" -0.969295613269231
"322" "LAYING" 5 "tBodyAcc-std()-Z" -0.968562516346154
"323" "LAYING" 5 "tGravityAcc-mean()-X" -0.483470597692308
"324" "LAYING" 5 "tGravityAcc-mean()-Y" 0.954890346153846
"325" "LAYING" 5 "tGravityAcc-mean()-Z" 0.263644691923077
"326" "LAYING" 5 "tGravityAcc-std()-X" -0.945695336153846
"327" "LAYING" 5 "tGravityAcc-std()-Y" -0.985964053846154
"328" "LAYING" 5 "tGravityAcc-std()-Z" -0.977076645
"329" "LAYING" 5 "tBodyAccJerk-mean()-X" 0.0848164824230769
"330" "LAYING" 5 "tBodyAccJerk-mean()-Y" 0.00747460829615385
"331" "LAYING" 5 "tBodyAccJerk-mean()-Z" -0.00304067159653846
"332" "LAYING" 5 "tBodyAccJerk-std()-X" -0.983307862115385
"333" "LAYING" 5 "tBodyAccJerk-std()-Y" -0.964560430961538
"334" "LAYING" 5 "tBodyAccJerk-std()-Z" -0.985419368461538
"335" "LAYING" 5 "tBodyGyro-mean()-X" -0.0218935013501923
"336" "LAYING" 5 "tBodyGyro-mean()-Y" -0.0798709596153846
"337" "LAYING" 5 "tBodyGyro-mean()-Z" 0.159894366942308
"338" "LAYING" 5 "tBodyGyro-std()-X" -0.979498706538461
"339" "LAYING" 5 "tBodyGyro-std()-Y" -0.977427370576923
"340" "LAYING" 5 "tBodyGyro-std()-Z" -0.960583776923077
"341" "LAYING" 5 "tBodyGyroJerk-mean()-X" -0.102114125
"342" "LAYING" 5 "tBodyGyroJerk-mean()-Y" -0.0404446925288462
"343" "LAYING" 5 "tBodyGyroJerk-mean()-Z" -0.07083096875
"344" "LAYING" 5 "tBodyGyroJerk-std()-X" -0.983422257692308
"345" "LAYING" 5 "tBodyGyroJerk-std()-Y" -0.983759479230769
"346" "LAYING" 5 "tBodyGyroJerk-std()-Z" -0.989679592307692
"347" "LAYING" 5 "tBodyAccMag-mean()" -0.966777882884615
"348" "LAYING" 5 "tBodyAccMag-std()" -0.958612786346154
"349" "LAYING" 5 "tGravityAccMag-mean()" -0.966777882884615
"350" "LAYING" 5 "tGravityAccMag-std()" -0.958612786346154
"351" "LAYING" 5 "tBodyAccJerkMag-mean()" -0.980141253846154
"352" "LAYING" 5 "tBodyAccJerkMag-std()" -0.977477145384615
"353" "LAYING" 5 "tBodyGyroMag-mean()" -0.946938300576923
"354" "LAYING" 5 "tBodyGyroMag-std()" -0.958287921923077
"355" "LAYING" 5 "tBodyGyroJerkMag-mean()" -0.9864194225
"356" "LAYING" 5 "tBodyGyroJerkMag-std()" -0.98377138
"357" "LAYING" 5 "fBodyAcc-mean()-X" -0.968741678461538
"358" "LAYING" 5 "fBodyAcc-mean()-Y" -0.965419520961538
"359" "LAYING" 5 "fBodyAcc-mean()-Z" -0.977007724615385
"360" "LAYING" 5 "fBodyAcc-std()-X" -0.964953893653846
"361" "LAYING" 5 "fBodyAcc-std()-Y" -0.972909186730769
"362" "LAYING" 5 "fBodyAcc-std()-Z" -0.965882191153846
"363" "LAYING" 5 "fBodyAcc-meanFreq()-X" -0.135632454076923
"364" "LAYING" 5 "fBodyAcc-meanFreq()-Y" 0.466528231788462
"365" "LAYING" 5 "fBodyAcc-meanFreq()-Z" 0.132310871284615
"366" "LAYING" 5 "fBodyAccJerk-mean()-X" -0.982689657115385
"367" "LAYING" 5 "fBodyAccJerk-mean()-Y" -0.965328566153846
"368" "LAYING" 5 "fBodyAccJerk-mean()-Z" -0.983250309423077
"369" "LAYING" 5 "fBodyAccJerk-std()-X" -0.985625270384615
"370" "LAYING" 5 "fBodyAccJerk-std()-Y" -0.96624258
"371" "LAYING" 5 "fBodyAccJerk-std()-Z" -0.986135599038461
"372" "LAYING" 5 "fBodyAccJerk-meanFreq()-X" 0.239915157321154
"373" "LAYING" 5 "fBodyAccJerk-meanFreq()-Y" 0.195677336307692
